Year,Month,Total
2018,January,1264
2018,February,1050
2018,March,1339
2018,April,1249
2018,May,1260
2018,June,1237
2018,July,1558
2018,August,1648
2018,September,1489
2018,October,1479
2018,November,1305
2018,December,1313
2019,January,1310
2019,February,1240
2019,March,1353
2019,April,1275
2019,May,1374
2019,June,1539
2019,July,1703
2019,August,1754
2019,September,1392
2019,October,1395
2019,November,1299
2019,December,1224
2020,January,1328
2020,February,1348
2020,March,814
2020,April,609
